e, e_dot, e_int, stamp, 
8.946121840083775, 5.235343418045583e-08, 1.7892243663820395, 33321000000, 
8.946121806332997, -8.31202484619098e-08, 1.789224365179056, 33389000000, 
8.946121823822581, -5.42039776026589e-08, 1.7892243646826236, 33491000000, 
8.942829910704933, -0.010972985426877338, 1.789004902724034, 33593000000, 
8.933145786721123, -0.04325345700486002, 1.7881398347499093, 33695000000, 
8.923466958876592, -0.06454317276113859, 1.7866295104201766, 33797000000, 
8.913795385077721, -0.06450133881134097, 1.7846938753783623, 33899000000, 
8.904131070482062, -0.06445296131509792, 1.7827595609624252, 34001000000, 
8.894475777721182, -0.0643986911884653, 1.7808268155520646, 34103000000, 
8.884833801391643, -0.06432423030139726, 1.7788960433063257, 34205000000, 
8.875206242361802, -0.06423178453126492, 1.776967721431642, 34307000000, 
8.865588429186827, -0.06415124068272011, 1.775041898196018, 34409000000, 
8.855974644214413, -0.06410532715796317, 1.7731179543842026, 34511000000, 
8.846363474183114, -0.06408318334570968, 1.7711951031722903, 34613000000, 
8.836755682723442, -0.06406320496990266, 1.7692729200747312, 34715000000, 
8.82715633048298, -0.0640238123337807, 1.7673516991593023, 34817000000, 
8.817568451880549, -0.06395743614297918, 1.7654320310057978, 34919000000, 
8.807990400369544, -0.06388643371145382, 1.7635143455155382, 35021000000, 
8.80160837857085, -0.05320024436566465, 1.761811148721396, 35089000000, 
8.792038476160783, -0.0531730806958682, 1.7601091503400785, 35191000000, 
8.782473672544059, -0.06378235342263376, 1.7584080351517126, 35293000000, 
8.772917268431794, -0.06373735909663243, 1.7564952944757757, 35395000000, 
8.763370779618194, -0.06367630975288326, 1.7545841147062697, 35497000000, 
8.753832825620403, -0.06361480937130182, 1.7526747249113594, 35599000000, 
8.744300941992273, -0.06356612541973543, 1.7507669698153914, 35701000000, 
8.734774346429624, -0.06352826396926285, 1.7488605409361535, 35803000000, 
8.725254765645666, -0.06348725448869293, 1.7469553369378374, 35905000000, 
8.71575151442361, -0.06340944002004652, 1.7450520417665931, 36007000000, 
8.706222382549873, -0.06344127698597528, 1.7431485775079432, 36109000000, 
8.696655874183646, -0.06365213413321413, 1.7412419847438088, 36211000000, 
8.687076136096252, -0.06382082151207058, 1.739330292855318, 36313000000, 
8.67748249271858, -0.06391127155022029, 1.7374143001998987, 36415000000, 
8.667882054387867, -0.06398027236128219, 1.7354960455468467, 36517000000, 
8.658287591839445, -0.06398300293045149, 1.7335768092630597, 36619000000, 
8.651896229069918, -0.05328608439316559, 1.731871058353149, 36687000000, 
8.642315817978348, -0.05323924620365498, 1.730166642592514, 36789000000, 
8.632740513042872, -0.06385238675681748, 1.7284635040060758, 36891000000, 
8.623167940503716, -0.0638262582487729, 1.726548284768329, 36993000000, 
8.613595368896284, -0.06381714715529323, 1.724633588162858, 37095000000, 
8.604020600228093, -0.06382446758541012, 1.7227189273085395, 37197000000, 
8.594442652525117, -0.06384238790388963, 1.7208039081099662, 37299000000, 
8.584860828268196, -0.06386590653299014, 1.7188882720680936, 37401000000, 
